site;mois;poids
FRA004;1;1,456
FRA005;1;2,406
FRA008;1;0,557
FRA009;1;3,328
FRA010;1;0,38
FRA012;1;2,35
FRA013;1;3,551
FRA014;1;1,292
FRA015;1;1,465
FRA017;1;1,809
FRA018;1;1,562
FRA020;1;1,596
FRA021;1;1,293
FRA022;1;3,789
FRA026;1;2,126
FRA027;1;1,888
FRA028;1;2,2
FRA029;1;2,657
FRA030;1;1,352
FRA031;1;0,912
FRA032;1;0,578
FRA033;1;1,568
FRA035;1;4,505
FRA036;1;4,223
FRA038;1;0,68
FRA039;1;1,163
FRA042;1;2,018
FRA046;1;0,801
FRA048;1;0,277
FRA050;1;2,955
FRA051;1;3,31
FRA053;1;0,85
FRA054;1;2,098
FRA055;1;1,402
FRA057;1;0,77
FRA060;1;0,73
FRA066;1;2,176
FRA069;1;0,83
FRA071;1;2,372
FRA072;1;1,189
FRA073;1;0,62
FRA075;1;1,723
FRA076;1;5,824
FRA077;1;1,61
FRA083;1;0,263
FRA086;1;1,477
FRA087;1;1,086
FRA088;1;1,523
FRA089;1;1,334
FRA092;1;1,002
FRA095;1;0,845
FRA096;1;0,1
FRA100;1;2,865
FRA102;1;1,78
FRA105;1;1,009
FRA106;1;1,072
FRA107;1;1,76
FRA109;1;1,777
FRA110;1;1,131
FRA111;1;0,972
FRA112;1;0,633
FRA113;1;2,389
FRA115;1;2,3
FRA116;1;0,227
FRA118;1;2,592
FRA119;1;0,4
FRA121;1;0,999
FRA186;1;1,207
FRA195;1;2,549
FRA197;1;0,9
FRA200;1;2,515
FRA206;1;1,215
FRA208;1;1,05
FRA210;1;1,2
FRA212;1;0,247
FRA215;1;1,414
FRA251;1;0,836
FRA253;1;0,923
FRA301;1;0,724
FRA303;1;1,052
FRA306;1;0,6
FRA307;1;1,353
FRA309;1;4,1
FRA310;1;1,697
FRA312;1;2,473
FRA313;1;0,856
FRA314;1;0,816
FRA315;1;0,928
FRA316;1;1,915
FRA318;1;0,504
FRA319;1;0,717
FRA320;1;1,384
FRA321;1;0,853
FRA323;1;0,69
FRA324;1;0,684
FRA325;1;0,625
FRA328;1;2,534
FRA329;1;0,576
FRA330;1;1,411
FRA331;1;0,94
FRA332;1;1,7
FRA333;1;1,945
FRA334;1;0,995
FRA336;1;0,801
FRA337;1;2,719
FRA338;1;0,228
FRA339;1;0,412
FRA342;1;0,227
FRA343;1;1,664
FRA344;1;0,721
FRA345;1;1,306
FRA346;1;0,809
FRA347;1;1,235
FRA350;1;1,07
FRA351;1;0,6
FRA353;1;0,81
FRA354;1;0,981
FRA356;1;0,808
FRA357;1;0,57
FRA359;1;2,125
FRA360;1;0,368
FRA363;1;0,648
FRA366;1;1,507
FRA400;1;1,078
FRA401;1;1,433
FRA404;1;1,293
FRA406;1;2,157
FRA408;1;0,801
FRA004;2;1,216
FRA005;2;2,242
FRA008;2;0,251
FRA009;2;5,636
FRA010;2;0,24
FRA012;2;1,86
FRA013;2;0,711
FRA014;2;1,23
FRA015;2;0,952
FRA017;2;1,637
FRA018;2;1,008
FRA020;2;1,297
FRA021;2;0,624
FRA022;2;3,572
FRA026;2;2,117
FRA027;2;1,638
FRA028;2;2,1
FRA029;2;3,017
FRA030;2;1,076
FRA031;2;0,97
FRA032;2;0,898
FRA033;2;1,722
FRA035;2;3,618
FRA036;2;4,85
FRA039;2;1,238
FRA042;2;0,539
FRA046;2;0,807
FRA048;2;0,362
FRA050;2;2,187
FRA051;2;2,88
FRA053;2;0,871
FRA054;2;1,741
FRA055;2;1,425
FRA057;2;0,446
FRA060;2;0,51
FRA066;2;1,412
FRA069;2;0,54
FRA071;2;1,377
FRA072;2;1,325
FRA073;2;0,763
FRA075;2;1,653
FRA076;2;1,821
FRA077;2;1,77
FRA083;2;0,209
FRA086;2;2,401
FRA087;2;1,114
FRA088;2;2,504
FRA089;2;1,127
FRA092;2;0,887
FRA093;2;0,993
FRA095;2;0,66
FRA100;2;2,851
FRA102;2;1,44
FRA105;2;0,834
FRA106;2;1,283
FRA107;2;2,229
FRA109;2;0,897
FRA110;2;1,307
FRA111;2;1,032
FRA112;2;0,671
FRA113;2;2,71
FRA115;2;3,05
FRA118;2;2,264
FRA119;2;1,75
FRA121;2;1,236
FRA186;2;0,965
FRA195;2;2,385
FRA197;2;0,8
FRA200;2;1,928
FRA206;2;1,191
FRA208;2;1,28
FRA210;2;1,2
FRA215;2;1,514
FRA251;2;0,772
FRA253;2;1,125
FRA301;2;0,73
FRA303;2;0,699
FRA306;2;0,3
FRA307;2;0,869
FRA309;2;3,257
FRA310;2;1,155
FRA312;2;1,815
FRA313;2;0,772
FRA314;2;0,591
FRA315;2;1,437
FRA316;2;1,878
FRA318;2;0,578
FRA319;2;0,666
FRA320;2;1,423
FRA321;2;0,632
FRA323;2;0,974
FRA324;2;0,663
FRA325;2;0,581
FRA328;2;1,396
FRA329;2;1,017
FRA330;2;0,943
FRA331;2;3,856
FRA332;2;1,02
FRA333;2;1,856
FRA334;2;0,331
FRA336;2;0,807
FRA337;2;2,72
FRA338;2;0,167
FRA339;2;0,654
FRA342;2;1,191
FRA343;2;0,941
FRA344;2;0,697
FRA345;2;1,304
FRA346;2;0,852
FRA347;2;0,477
FRA350;2;0,91
FRA353;2;0,629
FRA354;2;0,784
FRA356;2;0,766
FRA357;2;0,647
FRA359;2;1,565
FRA360;2;0,173
FRA363;2;0,421
FRA366;2;1,389
FRA400;2;1,155
FRA401;2;1,032
FRA404;2;1,255
FRA406;2;2,308
FRA408;2;0,807
FRA004;3;1,321
FRA005;3;2,332
FRA007;3;3,1
FRA008;3;0,829
FRA009;3;5,126
FRA010;3;0,425
FRA012;3;2,875
FRA013;3;0,462
FRA014;3;1,296
FRA015;3;1,413
FRA017;3;1,293
FRA018;3;1,581
FRA020;3;1,723
FRA021;3;1,066
FRA022;3;3,118
FRA026;3;2,799
FRA027;3;1,813
FRA028;3;2,2
FRA029;3;1,763
FRA030;3;1,753
FRA031;3;1,787
FRA032;3;0,726
FRA033;3;2,159
FRA035;3;3,952
FRA036;3;6,2
FRA039;3;1,595
FRA042;3;1,027
FRA046;3;1,098
FRA048;3;0,421
FRA050;3;1,552
FRA051;3;3,85
FRA053;3;1,519
FRA054;3;1,974
FRA055;3;1,648
FRA057;3;0,631
FRA060;3;1
FRA066;3;1,639
FRA068;3;0,749
FRA069;3;0,89
FRA071;3;1,95
FRA072;3;1,076
FRA073;3;0,585
FRA075;3;2,119
FRA076;3;1,551
FRA077;3;1,65
FRA083;3;0,378
FRA086;3;3,118
FRA087;3;1,001
FRA088;3;3,069
FRA089;3;1,122
FRA092;3;1,329
FRA093;3;1,305
FRA095;3;1,009
FRA096;3;0,184
FRA100;3;2,609
FRA102;3;1,98
FRA103;3;0,6
FRA104;3;1,807
FRA105;3;1,007
FRA106;3;2,419
FRA107;3;2,058
FRA108;3;0,297
FRA109;3;1,14
FRA110;3;1,108
FRA111;3;1,29
FRA112;3;0,977
FRA113;3;2,429
FRA115;3;2,25
FRA118;3;2,741
FRA119;3;1,45
FRA121;3;0,978
FRA186;3;1,163
FRA195;3;3,926
FRA197;3;0,855
FRA200;3;2,54
FRA206;3;1,514
FRA207;3;0,132
FRA208;3;0,85
FRA210;3;1,55
FRA211;3;0,662
FRA212;3;0,2
FRA215;3;0,533
FRA251;3;1,092
FRA253;3;1,316
FRA301;3;0,771
FRA303;3;1,355
FRA306;3;0,6
FRA307;3;1,539
FRA309;3;2,527
FRA310;3;0,845
FRA312;3;2,426
FRA313;3;1,101
FRA314;3;0,454
FRA315;3;1,538
FRA316;3;1,501
FRA318;3;0,851
FRA319;3;0,859
FRA320;3;1,384
FRA321;3;0,822
FRA323;3;0,7
FRA324;3;0,774
FRA325;3;0,69
FRA328;3;1,703
FRA329;3;1,027
FRA330;3;0,31
FRA331;3;1,285
FRA332;3;1,085
FRA333;3;2,426
FRA334;3;0,975
FRA336;3;1,098
FRA337;3;2,719
FRA338;3;0,259
FRA339;3;0,826
FRA342;3;0,534
FRA343;3;1,765
FRA344;3;0,878
FRA345;3;1,266
FRA346;3;1,187
FRA347;3;1,296
FRA350;3;0,951
FRA351;3;0,295
FRA353;3;0,619
FRA354;3;1,242
FRA356;3;0,91
FRA357;3;0,46
FRA359;3;2,108
FRA360;3;0,315
FRA363;3;0,48
FRA366;3;1,298
FRA400;3;0,857
FRA401;3;1,301
FRA403;3;0,2
FRA404;3;1,356
FRA406;3;1,955
FRA408;3;1,098
FRA003;4;0,862
FRA004;4;1,851
FRA005;4;2,404
FRA007;4;1,8
FRA008;4;1,794
FRA009;4;4,112
FRA010;4;0,23
FRA012;4;2,515
FRA013;4;1,722
FRA014;4;1,591
FRA015;4;1,47
FRA017;4;1,696
FRA018;4;1,328
FRA020;4;1,365
FRA021;4;1,072
FRA022;4;2,826
FRA026;4;2,254
FRA027;4;1,431
FRA028;4;2,05
FRA029;4;2,023
FRA030;4;1,482
FRA031;4;0,443
FRA032;4;0,523
FRA033;4;2,296
FRA034;4;1,729
FRA035;4;5,903
FRA036;4;1,4
FRA039;4;1,271
FRA042;4;0,51
FRA046;4;1,581
FRA048;4;0,398
FRA049;4;0,208
FRA050;4;1,733
FRA051;4;2,047
FRA052;4;0,525
FRA053;4;1,162
FRA054;4;1,732
FRA055;4;1,592
FRA057;4;0,629
FRA066;4;1,548
FRA068;4;1,095
FRA069;4;0,8
FRA070;4;0,311
FRA071;4;2,016
FRA072;4;0,857
FRA073;4;1,058
FRA075;4;0,375
FRA076;4;0,955
FRA079;4;1,184
FRA083;4;0,838
FRA086;4;2,855
FRA087;4;1,67
FRA088;4;2,483
FRA089;4;0,751
FRA090;4;0,933
FRA091;4;1,261
FRA092;4;1,55
FRA093;4;1,433
FRA095;4;0,453
FRA096;4;0,926
FRA100;4;3,86
FRA102;4;1,396
FRA103;4;1,269
FRA104;4;0,849
FRA105;4;0,984
FRA106;4;2,448
FRA107;4;2,087
FRA111;4;1,122
FRA113;4;3,584
FRA115;4;0,8
FRA118;4;2,209
FRA119;4;0,8
FRA121;4;0,968
FRA190;4;0,706
FRA195;4;4,022
FRA197;4;1,046
FRA206;4;1,264
FRA208;4;0,45
FRA210;4;1,049
FRA211;4;1,046
FRA212;4;1,665
FRA215;4;1,441
FRA250;4;0,189
FRA251;4;1,184
FRA252;4;0,325
FRA253;4;1,696
FRA254;4;0,011
FRA255;4;0,555
FRA301;4;0,989
FRA303;4;1,577
FRA305;4;0,605
FRA306;4;0,15
FRA307;4;1,34
FRA309;4;2,672
FRA310;4;1,442
FRA312;4;1,945
FRA313;4;0,621
FRA314;4;0,636
FRA315;4;1,51
FRA316;4;0,502
FRA318;4;0,468
FRA320;4;1,048
FRA321;4;1,044
FRA323;4;0,45
FRA324;4;0,487
FRA325;4;0,636
FRA328;4;1,406
FRA329;4;1,089
FRA330;4;0,398
FRA331;4;1,382
FRA332;4;0,9
FRA333;4;1,98
FRA334;4;0,581
FRA336;4;1,109
FRA337;4;1,949
FRA338;4;0,141
FRA339;4;0,54
FRA342;4;0,241
FRA343;4;1,524
FRA345;4;1,573
FRA346;4;1,023
FRA347;4;1,552
FRA350;4;1,043
FRA352;4;0,634
FRA354;4;0,945
FRA359;4;2,572
FRA363;4;0,526
FRA365;4;0,788
FRA366;4;0,968
FRA400;4;0,683
FRA401;4;1,019
FRA403;4;0,401
FRA404;4;1,296
FRA406;4;2,23
FRA407;4;0,677
FRA408;4;0,483
FRA003;5;0,726
FRA004;5;1,17
FRA005;5;2,652
FRA007;5;0,15
FRA008;5;1,265
FRA009;5;3,537
FRA010;5;0,13
FRA012;5;2,94
FRA015;5;0,96
FRA018;5;0,991
FRA020;5;1,265
FRA021;5;0,992
FRA022;5;3,981
FRA023;5;0,186
