Code_Magasin|Magasin|DATE|Rayon|Code Rayon|Famille|Code_Famille|Sous Famille|Code Sous Famille|Code EAN|Libellé Article|CodeDémarque|Libellé Démarque|Poids en kg|Descr Poids en kg|Montant Démarque|Qte Démarque

10005|005 - Velez Sarsfield|201602|SECO|01   1   4|FIBRAS|01   1   4  04  00|FIBRAS|01   1   4  04  00  00|7797330104401|(S)CEREALES BIO CON FITOESTEROLES GRANDIET X 390G|Vencimiento|VTO|390.00|GRM|-420.00|-10.00
10005|005 - Velez Sarsfield|201603|SECO|01   1   4|VEGETALES|01   1   4  18  00|LENTEJAS|01   1   4  18  00  05|7792350004571|LENTEJAS SECAS REMOJADAS INALPA LATA X 350 GR|Roturas|ROT|350.00|GRM|-6.32|-1.00
10007|007 - Quilmes|201601|SECO|01   1   4|CRACKERS|01   1   4  01  00|GALLETITAS ARROZ|01   1   4  01  00  04|7790503198627|GALLETAS DE ARROZ DOS HERMANOS SALADA BOLSA X 100|Roturas|ROT|100.00|GRM|-10.51|-1.00
10007|007 - Quilmes|201601|SECO|01   1   4|DULCES|01   1   4  01  01|GALLETITAS VAINILLAS|01   1   4  01  01  04|7798033338032|VAINILLAS CARREFOUR FLOW PACK X 160 GRS|Roturas|ROT|160.00|GRM|-16.56|-3.00
10007|007 - Quilmes|201604|SECO|01   1   4|CAFE INSTANTANEO|01   1   4  02  01|SABORIZADOS CAFE|01   1   4  02  01  02|7790150160862|CAPPUCCINO LIGHT LA VIRGINIA CAJA X 90 GRS|Roturas|ROT|90.00|GRM|-24.82|-1.00
10009|009 - Cba. Colon|201602|FRUTAS Y VERDURAS|01   2   2|EMBANDEJADO|01   2   2  05  00|PROVENZAL|01   2   2  05  00  03|7798180210212|PROVENZAL|Vencimiento|VTO|1.00|UNI|-33.00|-3.00
10012|012 - San Justo|201601|SECO|01   1   4|LEGUMBRES SECAS|01   1   4  12  02|LENTEJAS|01   1   4  12  02  00|7798159716721|LENTEJAS CARREFOUR BOLSA X 400 GRS|Roturas|ROT|400.00|GRM|-11.60|-1.00
10012|012 - San Justo|201601|P.A.S.|01   1   5|PASTAS NO RELLENAS|01   1   5  06  01|PASTAS FIDEOS|01   1   5  06  01  00|7798141710249|FIDEOS TALLARINES CON ESPINACA CARREFOUR X 500 GRS|Vencimiento|VTO|500.00|GRM|-36.24|-3.00
10016|016 - Monte Grande|201604|SECO|01   1   4|CAFE INSTANTANEO|01   1   4  02  01|SABORIZADOS CAFE|01   1   4  02  01  02|7790150160756|CAPPUCCINO INSTANTANEO TRAD LA VIRGINIA X 210 GRS|Roturas|ROT|210.00|GRM|-40.60|-1.00
10017|017 - Mendoza|201604|SECO|01   1   4|CHOCOLATE GOLOSINAS|01   1   4  07  02|TABLETAS SIMPLES|01   1   4  07  02  00|7790380006367|TABLETA DE CHOCOLATE BLANCO TOKKE X 130 GRS|Vencimiento|VTO|130.00|GRM|-22.12|-1.00
10018|018 - Rosario|201606|SECO|01   1   4|REPOSTERIA SECA|01   1   4  08  03|GOTITAS / CONFITES DE DECORACION|01   1   4  08  03  17|7790407031532|GOTITAS DE CHOCOLATE SEMIAMARGO AGUILA X 150 GRS|Roturas|ROT|150.00|GRM|-21.42|-1.00
10021|021 - Moreno|201601|CARNICERIA|01   2   4|NOVILLITO|01   2   4  02  04|CICLO III (MILANESA)|01   2   4  02  04  09|2302019000001|MILANESA DE CUADRADA NOVILLITO|Vencimiento|VTO|1000.00|GRM|-302.01|-3.35
10021|021 - Moreno|201605|SECO|01   1   4|CRACKERS|01   1   4  01  00|TRADICIONALES CRACKERS|01   1   4  01  00  00|7798159717858|GALLETITAS MINI SANDWICH CARREFOUR X 300 GRS|Roturas|ROT|300.00|GRM|-9.16|-1.00
10022|022 - Mar del Plata|201601|FIAMBRERIA|01   2   0|QUESO PASTA SEMIDURA|01   2   0  00  01|QUESO PATEGRAS|01   2   0  00  01  03|2302638000000|QUESO PATEGRAS +CALCIO SANCOR X KG|Merma por Fabricación|MFA|1000.00|GRM|-10.86|-0.10
10024|024 - Cba. Jardin|201603|CARNICERIA|01   2   4|NOVILLO|01   2   4  02  01|CUARTO MOCHO|01   2   4  02  01  01|2302738000009|CARNAZA COMUN NOVILLO X KG|Reclasificacion de Stocks|RDS|1000.00|GRM|-2503.08|-73.62
10025|025 - San Fernando|201603|PANADERIA|01   2   3|PAN|01   2   3  00  00|OTRAS ESPECIALIDADES|01   2   3  00  00  08|2926858500005|PAN CARREFOUR BRIE X UNIDAD 400 GRS.|Vencimiento|VTO|400.00|GRM|-653.40|-242.00
10028|028 - Pilar|201604|CARNICERIA|01   2   4|MARCA PROPIA|01   2   4  06  01|TROZADO|01   2   4  06  01  01|2308137000008|MIX DE PRESITAS MARCA PROPIA X KG|Vencimiento|VTO|1000.00|GRM|-453.18|-11.47
10028|028 - Pilar|201605|SECO|01   1   4|SNACKS VARIOS|01   1   4  00  05|SNACKS VARIOS|01   1   4  00  05  00|7790310005804|CONOS SABOR QUESO MEGA 3D X 122 GRS|Roturas|ROT|122.00|GRM|-21.72|-1.00
10030|030 - Mataderos|201604|CARNICERIA|01   2   4|TERNERA|01   2   4  02  02|CICLO III (MILANESA)|01   2   4  02  02  09|2302031000003|CUADRADA PREMIUM X KG|Reclasificacion de Stocks|RDS|1000.00|GRM|-1274.25|-12.27
10030|030 - Mataderos|201604|P.A.S.|01   1   5|QUESOS RALLADOS|01   1   5  00  06|QUESO EN HEBRAS|01   1   5  00  06  00|7794990879755|QUESO HEBRAS ITALIANO LIGHT LA PAULINA X 135 GRS|Vencimiento|VTO|135.00|GRM|-211.98|-14.00
10030|030 - Mataderos|201606|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|GALLETITAS DULCES|01   2   3  01  00  04|7791696008489|HOJALDRITOS X 200 GRS|Vencimiento|VTO|200.00|GRM|-161.90|-10.00
10032|032 - Rosario Centro|201604|PANADERIA|01   2   3|REPOSTERIA FRESCA|01   2   3  01  01|PASTAFROLAS|01   2   3  01  01  05|7791696008458|PASTAFROLA BATATA X 500 GRS|Vencimiento|VTO|500.00|GRM|-32.68|-1.00
10043|043 - Haedo|201602|PANADERIA|01   2   3|BOLLERIA|01   2   3  00  01|FIGAZA|01   2   3  00  01  07|2920008300002|FIGAZITAS CON MANTECA X 6 UNIDADES 180 GRS|Vencimiento|VTO|180.00|GRM|-208.50|-25.00
10044|044 - Resistencia II|201604|PLATOS PREPARADOS|01   2   6|SANDWICH|01   2   6  02  03|MIGA|01   2   6  02  03  01|7798055590791|SANDWICH TRIPLE DE MIGA BLANCO X 6 UNID|Vencimiento|VTO|300.00|GRM|-2384.76|-85.00
10045|045 - Trelew (III)|201601|P.A.S.|01   1   5|POSTRES LACTEOS|01   1   5  01  03|POSTRES|01   1   5  01  03  00|7791337643017|ALIMENTO CONC BEB VAINILLA DANONINO X 185 GRS|Roturas|ROT|185.00|GRM|-42.93|-3.00
10048|048 - Rio Gallegos (II)|201602|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|ALFAJOR|01   2   3  01  00  02|7791696008106|ALFAJOR DE FRUTA X 6 U|Vencimiento|VTO|6.00|UNI|-267.12|-9.00
10048|048 - Rio Gallegos (II)|201603|SECO|01   1   4|VEGETALES|01   1   4  18  00|PALMITOS|01   1   4  18  00  01|7798033333846|PALMITOS ENTEROS LATA CARREFOUR LATA X 400 GRS|Roturas|ROT|400.00|GRM|-146.80|-8.00
10050|050 - R. MARTINOLI|201602|FRUTAS Y VERDURAS|01   2   2|PESADA|01   2   2  01  01|BATATA|01   2   2  01  01  02|2320088000005|BATATA FRACC X KG.|Vencimiento|VTO|1000.00|GRM|-109.50|-7.30
10026|026 - Warnes|201601|SECO|01   1   4|LECHE INFANTIL|01   1   4  21  00|LECHE ETAPA 3 LIQUIDO|01   1   4  21  00  03|7795323002789|LECHE FLUIDA INFANTIL ETAPA 3 VITAL BRIK X 1 LT|Roturas|ROT|1000.00|CM3|-79.03|-3.00
10026|026 - Warnes|201601|P.A.S.|01   1   5|MANTECAS|01   1   5  01  06|MANTECAS|01   1   5  01  06  00|7798152226326|MANTECA CALIDAD EXTRA CARREFOUR X 200 GRS|Roturas|ROT|200.00|GRM|-10.61|-1.00
10005|005 - Velez Sarsfield|201603|SECO|01   1   4|GELATINAS|01   1   4  08  00|GELATINAS DIET|01   1   4  08  00  01|7622300865627|GELATINA ANANA LIGHT MANJARES ROYAL X 25 GRM|Roturas|ROT|25.00|GRS|-14.04|-2.00
10054|054 - Villa Allende|201603|BEBIDAS|01   1   0|AGUAS GASIFICADAS|01   1   0  02  01|BOTELLA FAMILIAR GASIFICADAS|01   1   0  02  01  01|7791913000814|AGUA MINERAL CON GAS SALDAN PET X 2.25 LT|Roturas|ROT|2250.00|CM3|-26.70|-3.00
10028|028 - Pilar|201602|SECO|01   1   4|LARGOS|01   1   4  11  02|SPAGUETTI|01   1   4  11  02  00|7792550700556|FIDEOS SPAGHETTI NUTREGAL BOLSA X 500 GRS|Roturas|ROT|500.00|GRM|-14.32|-2.00
10054|054 - Villa Allende|201604|BEBIDAS|01   1   0|ACEITE OLIVA|01   1   0  03  02|ACEITE OLIVA BOTELLA|01   1   0  03  02  01|8001876020033|ACEITE OLIVA EXTRA VIRGEN COLAVITA BOTELLA X 250CC|Vencimiento|VTO|250.00|CM3|-165.04|-3.00
10017|017 - Mendoza|201605|BEBIDAS|01   1   0|JUGOS EN POLVO|01   1   0  01  02|DIET EN POLVO|01   1   0  01  02  04|7790580984410|JUGO EN POLVO NAR DCE BC LA CAMPAGNOLA X9.5G|Vencimiento|VTO|9.50|GRM|-1.97|-1.00
10055|055 - Formosa II La Rural|201605|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|GALLETITAS DULCES|01   2   3  01  00  04|7791696008533|PEPAS CON BATATA X 250GRS|Vencimiento|VTO|250.00|GRM|-144.32|-8.00
10044|044 - Resistencia II|201605|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|GALLETITAS DULCES|01   2   3  01  00  04|7793225001619|GALLETITAS TIPO AMARETTIS X 130 G|Vencimiento|VTO|130.00|GRS|-12.42|-1.00
10056|056 - Glew|201605|BEBIDAS|01   1   0|CERVEZAS LATA|01   1   0  05  02|BLANCA LATA|01   1   0  05  02  00|7793147009199|CERVEZA BLANCA HEINEKEN LATA X 473 CC|Roturas|ROT|473.00|CM3|-42.22|-3.00
10010|010 - Villa Tesei|201606|P.A.S.|01   1   5|HUEVOS|01   1   5  02  01|BLANCO|01   1   5  02  01  00|7798108344487|HUEVO BLANCO CARREFOUR CARTON X 6 UNI|Roturas|ROT|6.00|UNI|-20.04|-2.00
10101|101 - Avellaneda|201605|SECO|01   1   4|ARROZ|01   1   4  12  00|COMUN LARGO|01   1   4  12  00  00|7798108348614|ARROZ LARGO FINO 00000 LAMINADO CARREFOUR X 500GRS|Roturas|ROT|500.00|GRM|-4.64|-1.00
10112|112 - Salta|201605|CARNICERIA|01   2   4|NOVILLO|01   2   4  02  01|PARRILLERO|01   2   4  02  01  03|2302628000003|FALDA DE NOVILLO X KG|Vencimiento|VTO|1000.00|GRM|-823.01|-7.80
10115|115 - Flores|201601|SECO|01   1   4|YERBAS|01   1   4  02  03|TRADICIONAL|01   1   4  02  03  00|7790387113310|YERBA MATE C/PALO ORIGEN CONTROLADO TARAGUI X 1 KG|Roturas|ROT|1000.00|GRM|-32.31|-1.00
10115|115 - Flores|201606|PANADERIA|01   2   3|REPOSTERIA SECA|01   2   3  01  00|PIONONO|01   2   3  01  00  00|7791473001771|PIONONO TORTA 3 CAPAS (RED) VAINILLA X 240 GR.|Vencimiento|VTO|240.00|GRM|-179.30|-10.00
10062|062 - Champagnat|201602|SECO|01   1   4|ALFAJORES|01   1   4  07  04|BLANCOS|01   1   4  07  04  00|7798159718534|ALFAJOR CHOCOLATE BLANCO CARREFOUR 6 X 55 GRS|Roturas|ROT|330.00|GRM|-41.71|-2.00
10114|114 - B. Blanca|201605|CARNICERIA|01   2   4|NOVILLITO|01   2   4  02  04|PECHO|01   2   4  02  04  02|2308256000002|ROAST BEEF NOVILLITO|Merma por Fabricación|MFA|1000.00|GRM|-28.03|-0.40
10116|116 - Avenida Sta. Fe|201603|P.A.S.|01   1   5|QUESO CREMA|01   1   5  01  04|DESCREMADO|01   1   5  01  04  01|7790244001446|QUESO CREMA LIGHT SAN IGNACIO POTE X 320 GRS|Roturas|ROT|320.00|GRM|-13.90|-1.00
10120|120 - Belgrano (Cabildo)|201601|FRUTAS Y VERDURAS|01   2   2|PESADA|01   2   2  01  01|PAPA|01   2   2  01  01  00|2387600000004|PAPA NEGRA X KG.|Reclasificacion de Stocks|RDS|1000.00|GRM|-324.00|-60.00
10122|122 - Jujuy|201602|SECO|01   1   4|HARINAS DE TRIGO|01   1   4  10  00|TRIPLE 000|01   1   4  10  00  00|7792180001528|HARINA DE TRIGO 000 CANUELAS X 1 KG|Roturas|ROT|1000.00|GRM|-17.88|-4.00
10049|049 - Florencio Varela|201604|SECO|01   1   4|SOPAS INSTANTANEAS|01   1   4  13  00|LIGHT SOPA INSTANTANEA|01   1   4  13  00  01|7798052471246|(S)SOPA ZAPALLO DESHIDRATADO HOISIN X 150 GRS|Vencimiento|VTO|150.00|GRM|-64.00|-2.00
10001|001 - San Isidro|201601|CARNICERIA|01   2   4|GRANEL|01   2   4  06  02|ENTERO|01   2   4  06  02  00|2308068000009|POLLO LS S/MENUDOS .|Vencimiento|VTO|1000.00|GRM|-543.95|-21.50
10001|001 - San Isidro|201601|SECO|01   1   4|SOPAS INSTANTANEAS|01   1   4  13  00|LIGHT SOPA INSTANTANEA|01   1   4  13  00  01|7794000598577|SOPA QUICK LIGHT ESPINACA A LA CREMA KNORR X 5 UNI|Roturas|ROT|50.00|GRM|-12.62|-1.00
10123|123 - San Juan|201605|P.A.S.|01   1   5|SALCHICHAS|01   1   5  05  02|SALCHICHAS COMUNES|01   1   5  05  02  02|7790360025944|SALCHICHAS MAS LARGAS SWIFT FLOW PACK X 12 UNI|Roturas|ROT|720.00|GRM|-121.94|-2.00
10128|128 - Cdoro. Rivadavia|201603|P.A.S.|01   1   5|VEGETALES Y HORTALIZAS|01   1   5  03  02|BROCOLI|01   1   5  03  02  02|7790670050520|BROCOLI CONGELADO SADIA BOLSA X 400 GRS|Roturas|ROT|400.00|GRM|-30.00|-1.00
10136|136 - Gral. Roca|201602|SECO|01   1   4|GUISEROS|01   1   4  11  01|MOSTACHOLE|01   1   4  11  01  03|7798159716349|FIDEOS MOSTACHOL RAYADO CARREFOUR BOLSA X 500 GRS|Roturas|ROT|500.00|GRM|-95.78|-13.00
10139|139 - Olavarria|201601|PESCADERIA|01   2   1|MARISCOS|01   2   1  00  02|MEJILLONES|01   2   1  00  02  02|7798146700177|MEJILLONES PELADOS COCIDOS CONGELADOS X 250 GRS|Vencimiento|VTO|250.00|GRM|-89.75|-5.00
