Magasin;Nom;Société;Contenance;Passage /Semaine;Nombre container ;Prix D'enlévement;JANV;;FEVR;;MARS;;AVR;;MAI;;JUIN;;JUIL;;AOU;;SEPT;;OCT;;NOV;;DEC;;Nombre container An;Poids moyen ;CUMUL;
;;;;;;;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;Vid;Poids;;;;
1;ANTWERPEN GRO;Vanheede;1100 L;3x;4;17,2;36;3564;37;3663;43;4257;43;4257;38;3762;38;3762;40;3960;37;3663;42;4158;36;3564;37;3563;46;4454;473;98,58;8135,6;€
55;KAPELLEN;Vanheede;1100 L;3x;4;17,2;20;1980;22;2178;21;2079;18;1782;20;1980;20;1980;19;1881;18;1782;23;2277;21;2050;22;2554;23;2198;247;100,09;4248,4;€
102;HEUSDEN;Gielen;1100 L;3x;3;17,2;12;1188;13;1287;13;1287;12;1188;11;1089;12;1188;13;1287;14;1386;14;1540;11;1210;13;1430;16;1760;154;102,86;2648,8;€
105;ANDERLECHT;Vanheede;1100 L;3x;6;17;43;4257;49;4851;49;4851;52;5148;48;4752;42;4158;47;4653;46;4554;47;4653;49;4851;46;4554;53;5247;571;99,00;9707;€
106;MORTSEL ;Vanheede;1100 L;3x;3;17,2;26;2574;27;2673;25;2475;24;2376;26;2574;24;2376;28;2772;32;3168;29;2871;27;2640;27;2694;31;2994;326;98,73;5607,2;€
109;MOL ;Gielen;1100 L;3x;3;17,2;24;2376;26;2574;26;2574;25;2475;24;2376;27;2673;26;2574;27;2673;25;2750;26;2860;24;2640;26;2860;306;102,63;5263,2;€
110;AARSCHOT;Gielen;1100 L;3x;2;17,2;24;2376;24;2376;23;2277;22;2178;22;2178;23;2277;21;2079;26;2574;22;2420;23;2530;23;2490;25;2750;278;102,54;4781,6;€
111;TONGEREN;Gielen;1100 L;2x;4;17,2;37;3663;34;3366;42;4158;39;3861;36;3564;33;3267;38;3762;39;3861;40;4400;34;3740;41;4510;41;4465;454;102,68;7808,8;€
116;OOSTENDE;Van Gansewinkel;1100 L;3x;2;20,2;14;1318;12;1110;14;1226;14;1256;13;1076;13;1204;13;1222;13;1222;14;1222;13;1284;14;1223;17;1598;164;91,23;3312,8;€
