site;mois;poids
FRA001;1;3,01
FRA002;1;4,62
FRA003;1;6,6
FRA004;1;2,97
FRA005;1;7,715
FRA006;1;13,115
FRA007;1;6,227
FRA008;1;5,641
FRA009;1;15,942
FRA010;1;3,67
FRA011;1;11,647
FRA012;1;11,93
FRA013;1;6,483
FRA015;1;4,642
FRA016;1;11,851
FRA017;1;5,638
FRA019;1;6,051
FRA020;1;5,58
FRA021;1;8,223
FRA022;1;2,89
FRA023;1;9,69
FRA024;1;5,072
FRA025;1;12,034
FRA026;1;4,49
FRA027;1;4,5
FRA029;1;18,604
FRA030;1;8,455
FRA031;1;13,959
FRA032;1;8,04
FRA033;1;8,283
FRA034;1;12,801
FRA035;1;19,591
FRA036;1;29,606
FRA037;1;4,94
FRA038;1;5,074
FRA039;1;9,742
FRA041;1;10,59
FRA042;1;8,821
FRA043;1;17,02
FRA044;1;15,026
FRA045;1;11,198
FRA046;1;5,726
FRA047;1;8,295
FRA048;1;4,172
FRA049;1;2,79
FRA050;1;5,503
FRA051;1;14,321
FRA052;1;1,485
FRA053;1;4,406
FRA054;1;11,252
FRA055;1;4,65
FRA056;1;10,28
FRA057;1;8,886
FRA058;1;21,37
FRA059;1;4,893
FRA060;1;8,7
FRA063;1;16,21
FRA064;1;23,97
FRA068;1;0,531
FRA070;1;10,88
FRA071;1;7,178
FRA072;1;1,479
FRA073;1;4,742
FRA075;1;4,659
FRA076;1;2,456
FRA078;1;4,879
FRA079;1;2,72
FRA080;1;8,146
FRA082;1;7,38
FRA084;1;8,559
FRA085;1;2,15
FRA086;1;1,2
FRA087;1;4,219
FRA088;1;5,42
FRA089;1;4,46
FRA090;1;3,465
FRA091;1;4,95
FRA092;1;9,869
FRA093;1;6,339
FRA095;1;6,3
FRA096;1;3,122
FRA097;1;1,773
FRA098;1;15,893
FRA099;1;5,56
FRA100;1;6,33
FRA102;1;7,245
FRA103;1;2,368
FRA104;1;4,782
FRA105;1;8,718
FRA106;1;6,599
FRA107;1;6,234
