site;mois;poids
FRA001;1;37,61376
FRA002;1;10,25201
FRA003;1;8,21146
FRA004;1;16,84549
FRA005;1;16,61757
FRA006;1;14,10089
FRA007;1;29,61331
FRA008;1;28,32773
FRA009;1;29,64246
FRA010;1;13,40343
FRA011;1;12,98769
FRA012;1;15,1301
FRA013;1;20,87514
FRA014;1;13,74269
FRA015;1;21,05313
FRA016;1;6,75241
FRA017;1;14,47749
FRA018;1;13,48492
FRA019;1;10,00009
FRA020;1;7,46092
FRA021;1;12,46817
FRA022;1;15,85423
FRA023;1;16,25464
FRA024;1;9,16957
FRA025;1;10,78215
FRA026;1;12,19873
FRA027;1;13,42635
FRA028;1;11,73896
FRA029;1;19,3955
FRA030;1;4,75264
FRA031;1;29,92037
FRA032;1;38,81308
FRA033;1;8,99415
FRA034;1;17,42866
FRA035;1;25,66632
FRA036;1;22,54057
FRA037;1;14,54322
FRA038;1;14,66761
FRA039;1;15,88892
FRA040;1;21,9352
FRA041;1;20,29192
FRA042;1;25,62615
FRA043;1;15,5996
FRA044;1;18,34233
FRA045;1;12,40451
FRA046;1;11,34734
FRA047;1;23,57784
FRA048;1;16,22995
FRA049;1;6,90575
FRA050;1;24,50206
FRA051;1;16,83626
FRA052;1;8,40323
FRA053;1;21,22439
FRA054;1;24,8357
FRA055;1;11,49359
FRA056;1;11,66132
FRA057;1;20,11378
FRA058;1;15,66592
FRA059;1;14,85551
FRA060;1;24,43604
FRA061;1;26,04264
FRA062;1;24,46007
FRA063;1;17,87791
FRA064;1;21,69847
FRA065;1;10,93053
FRA066;1;33,68171
FRA068;1;21,19283
FRA069;1;13,36114
FRA070;1;8,60604
FRA071;1;9,35536
FRA072;1;9,00421
FRA073;1;7,81914
FRA074;1;15,43681
FRA075;1;22,5162
FRA076;1;18,26065
FRA077;1;16,30272
FRA078;1;13,16738
FRA079;1;14,77981
FRA080;1;13,59368
FRA081;1;18,65861
FRA082;1;24,38896
FRA083;1;15,66922
FRA084;1;20,19258
FRA085;1;13,69204
FRA086;1;21,73349
FRA087;1;10,41005
FRA088;1;10,22808
FRA089;1;20,39844
FRA090;1;16,68631
FRA091;1;9,59539
FRA092;1;27,51928
FRA093;1;24,72734
FRA094;1;25,90124
FRA095;1;18,57204
FRA096;1;7,19235
FRA097;1;17,92493
FRA098;1;33,29168
FRA099;1;14,67627
FRA100;1;14,80759
FRA101;1;17,52614
FRA102;1;12,87537
FRA103;1;17,22177
FRA104;1;9,70876
FRA105;1;10,72987
FRA106;1;6,52376
FRA107;1;12,65796
FRA108;1;12,92084
FRA109;1;18,24584
FRA110;1;14,72348
FRA111;1;13,05049
FRA112;1;13,171
FRA113;1;10,83025
FRA114;1;19,44138
FRA115;1;53,01733
FRA116;1;19,3435
FRA117;1;24,32231
FRA118;1;21,61327
FRA119;1;18,68894
FRA120;1;7,16257
FRA121;1;6,45423
FRA186;1;6,36957
FRA190;1;6,4704
FRA195;1;19,10926
FRA197;1;9,71595
FRA200;1;8,46197
FRA201;1;11,40978
FRA202;1;10,11363
FRA203;1;9,86969
FRA204;1;3,91198
FRA205;1;8,53943
FRA206;1;5,46719
FRA207;1;11,8637
FRA208;1;15,14136
FRA209;1;12,58567
FRA210;1;16,06714
FRA211;1;8,04239
FRA212;1;10,79725
FRA215;1;20,92543
FRA217;1;4,9832
FRA218;1;5,82372
FRA250;1;4,674
FRA251;1;7,04831
FRA252;1;6,95216
FRA253;1;10,90935
FRA254;1;9,72676
FRA255;1;9,90691
FRA256;1;0
FRA301;1;4,72448
FRA302;1;10,06587
FRA303;1;12,11897
FRA304;1;4,09002
FRA305;1;7,08217
FRA306;1;6,83844
FRA307;1;5,62335
FRA309;1;10,27048
FRA310;1;12,18859
FRA311;1;6,93279
FRA312;1;24,48047
FRA313;1;7,83361
FRA314;1;4,78406
FRA315;1;15,63017
FRA316;1;7,82851
FRA317;1;7,30028
FRA318;1;10,00586
FRA319;1;6,96133
FRA320;1;5,12173
FRA321;1;5,70701
FRA322;1;5,16877
FRA323;1;23,86269
FRA324;1;11,67312
FRA325;1;5,9882
FRA327;1;15,13566
FRA328;1;21,95703
FRA329;1;7,09194
FRA330;1;16,16062
FRA331;1;18,26811
FRA332;1;7,8989
FRA333;1;23,39587
FRA334;1;9,57688
FRA335;1;8,48696
FRA336;1;9,77702
FRA337;1;13,82176
FRA338;1;10,67148
FRA339;1;24,96354
FRA340;1;16,68237
FRA342;1;23,23164
FRA343;1;14,78634
FRA344;1;10,49698
FRA345;1;10,22337
FRA346;1;11,03447
FRA347;1;28,31
FRA349;1;9,52928
FRA350;1;6,55652
FRA351;1;17,45321
FRA352;1;8,42284
FRA353;1;10,10359
FRA354;1;9,78555
FRA356;1;13,98314
FRA357;1;5,96052
FRA358;1;14,85732
FRA359;1;12,59353
