Code;Nom;DIB
ITA001;Cagliari Quartu;324,31
ITA003;Zumpano ;342,84
ITA004;Gallarate ;0
ITA005;Marcon;231,08
ITA006;S.Giuliano ;0
ITA007;Pontecagnano;136,02
ITA008;Cagliari S.Sperate;98,41
ITA009;Nichelino;174,01
ITA010;Montecucco;334,02
ITA011;Trofarello;115,03
ITA012;Grugliasco;313,95
ITA013;Burolo;77,81
ITA014;Pinerolo;150,95
ITA015;Torino cs Grosseto;80,71
ITA016;Assago;256,88
ITA018;Vercelli;0
ITA019;Carugate;498,06
ITA020;Giussano;120,28
ITA021;Paderno;156,64
ITA022;Casalecchio;159,14
ITA023;Thiene;58,26
ITA024;Tavagnacco;331,56
ITA026;Massa;0
ITA028;Romanina;80,64
ITA029;Frosinone;103,14
ITA033;Aosta;164,06
ITA035;Ancona;0
ITA036;Collegno;135,72
ITA037;Lucca;181,1
ITA038;Portogruaro;174,45
ITA039;Calenzano;135,21
ITA040;Tor Vergata;252,16
ITA041;Marcianise;56,32
ITA043;Malpensa;0
ITA045;Borgomanero;0
ITA046;Torino Bramante;0
ITA047;Novara G. Cesare;339,11
ITA049;Leini;98,57
ITA050;Roma Niccodemi;126,9
ITA055;Limbiate;100,86
ITA056;Pavia;0
ITA059;Sassari;53,09
ITA062;Moncalieri 2;0
ITA062;Moncalieri 2;134,59
ITA069;Orzinuovi;35,16
ITA072;Udine;6,52
ITA073;RM Ciliegie;75,56
ITA074;Rivalta;19,39
ITA076;Domodossola;0
ITA077;Borgosesia;0
ITA078;Arma di Taggia;0
ITA079;Gavirate;234,33
ITA080;Chivasso;9,57
ITA081;Bazzano;30,38
ITA083;Luino;107,44
ITA084;Tavernerio;51,97
