Relevamiento disposición final Residuos Generales 2016;;;;;;Aperturas 2017;;;;;Formato;Toneladas;;;;
;;;;;;Cierres 2017/2018;;;;;Express;0;;;;
;;;;;Estimado;;;;;;Hiper;13 384;;;;
;;;;;;;;;;;Market;6 749;;;;
;;;;;;;;;;;Maxi;924;;;;
;;;;;;;;;;;Total general;21 057;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Local;Tienda;Formato;Región;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;Total
1;1-San Isidro;Hipermercado;GRAN BS. AS.;49;49;49;49;49;49;49;49;49;49;49;49;588
2;2-Vicente López;Hipermercado;GRAN BS. AS.;49;49;49;49;49;49;44;63;60;42;38;49;590
3;3-Av. La Plata;Hipermercado;CAP. FED.;14;14;14;14;14;14;15;14;13;12;16;12;165
5;5-Velez Sársfield;Hipermercado;CAP. FED.;14;14;14;14;14;14;14;14;14;14;14;14;168
6;6-Salguero;Hipermercado;CAP. FED.;36;36;36;36;36;36;49;48;46;23;26;25;431
7;7-Quilmes;Hipermercado;GRAN BS. AS.;20;20;20;20;20;20;19;21;18;20;21;20;240
8;8-La Plata;Hipermercado;RESTO BS. AS.;31;31;31;31;31;31;31;29;27;31;35;32;371
9;9-Cba. Colon;Hipermercado;CORDOBA;20;20;20;20;20;20;20;20;20;20;20;20;240
10;10-Villa Tesei;Hipermercado;GRAN BS. AS.;15;15;15;15;15;15;12;13;12;17;26;11;181
11;11-Malvinas Argentinas;Hipermercado;GRAN BS. AS.;23;23;23;23;23;23;22;21;20;23;36;17;277
12;12-San Justo;Hipermercado;GRAN BS. AS.;17;17;17;17;17;17;19;18;19;12;14;18;202
15;15-San Martín;Hipermercado;GRAN BS. AS.;23;23;23;23;23;23;20;20;22;24;24;29;277
16;16-Monte Grande;Hipermercado;GRAN BS. AS.;16;16;16;16;16;16;19;18;17;12;13;19;194
17;17-Mendoza;Hipermercado;MENDOZA;20;20;20;20;20;20;20;20;20;20;20;20;240
18;18-Rosario;Hipermercado;SANTA FE;20;20;20;20;20;20;20;20;20;20;20;20;240
20;20-Avellaneda;Hipermercado;GRAN BS. AS.;16;16;16;16;16;16;17;19;17;12;17;13;191
21;21-Moreno;Hipermercado;GRAN BS. AS.;24;24;24;24;24;24;24;24;23;22;31;19;287
22;22-Mar del Plata;Hipermercado;RESTO BS. AS.;15;15;15;15;15;15;15;15;15;15;15;15;180
23;23-Adrogue;Hipermercado;GRAN BS. AS.;15;15;15;15;15;15;17;16;15;11;13;18;179
24;24-Cba. Jardín;Hipermercado;CORDOBA;20;20;20;20;20;20;20;20;20;20;20;20;240
25;25-San Fernando;Hipermercado;GRAN BS. AS.;21;21;21;21;21;21;38;4;4;21;30;28;251
26;26-Warnes;Hipermercado;CAP. FED.;14;14;14;14;14;14;14;13;12;13;15;17;168
28;28-Pilar;Hipermercado;GRAN BS. AS.;28;28;28;28;28;28;32;32;30;26;18;29;335
29;29-Azul;Hipermercado;MENDOZA;20;20;20;20;20;20;20;20;20;20;20;20;240
30;30-Mataderos;Hipermercado;CAP. FED.;11;11;11;11;11;11;14;13;11;10;9;10;134
31;31-Tandil;Hipermercado;RESTO BS. AS.;10;10;10;10;10;10;10;10;10;10;10;10;120
32;32-Rosario Centro;Hipermercado;SANTA FE;6;6;6;6;6;6;6;6;6;6;6;6;72
33;33-Rosario Sur;Hipermercado;SANTA FE;6;6;6;6;6;6;6;6;6;6;6;6;72
36;36-Ituzaingo;Hipermercado;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
40;40-Temperley;Hipermercado;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;4;7;5;70
41;41-Rosario II Village;Hipermercado;SANTA FE;6;6;6;6;6;6;6;6;6;6;6;6;72
42;42-Merlo;Hipermercado;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
43;43-Haedo;Hipermercado;GRAN BS. AS.;28;28;28;28;28;28;27;26;24;41;31;17;333
44;44-Resistencia II;Hipermercado;CHACO;6;6;6;6;6;6;6;6;6;6;6;6;72
45;45-Trelew (III);Hipermercado;CHUBUT;7;7;7;7;7;7;7;7;7;7;7;7;84
46;46-Tucuman;Hipermercado;TUCUMAN;6;6;6;6;6;6;6;6;6;6;6;6;72
47;47-Martin Coronado;Hipermercado;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
48;48-Río Gallegos (II);Hipermercado;SANTA CRUZ;6;6;6;6;6;6;6;6;6;6;6;6;72
49;49-Florencio Varela;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;7;7;7;12;11;7;105
50;50-R. MARTINOLI;Hipermercado;CORDOBA;8;8;8;8;8;8;8;8;8;8;8;8;96
51;51-Rincón de Milberg;Hipermercado;GRAN BS. AS.;8;8;8;8;8;8;8;8;8;8;8;8;96
52;52-Banfield;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;8;8;8;11;12;9;110
53;53-Neuquen II;Hipermercado;NEUQUEN;8;8;8;8;8;8;8;8;8;8;8;8;96
54;54-Villa Allende;Hipermercado;CORDOBA;8;8;8;8;8;8;8;8;8;8;8;8;96
55;55-Formosa II La Rural;Hipermercado;FORMOSA;8;8;8;8;8;8;8;8;8;8;8;8;96
56;56-Glew;Hipermercado;GRAN BS. AS.;8;8;8;8;8;8;7;9;8;8;9;8;97
57;57-Hiper Villa Italia (Tandil);Hipermercado;RESTO BS. AS.;7;7;7;7;7;7;7;7;7;7;7;7;84
58;58-Hiper Balcarce;Hipermercado;RESTO BS. AS.;7;7;7;7;7;7;7;7;7;7;7;7;84
59;59-Hiper Godoy Cruz (Mendoza);Hipermercado;MENDOZA;7;7;7;7;7;7;7;7;7;7;7;7;84
62;62-Champagnat;Market;GRAN BS. AS.;5;5;5;5;5;5;5;5;5;5;5;5;60
63;63-Caleta Olivia;Hipermercado;SANTA CRUZ;7;7;7;7;7;7;7;7;7;7;7;7;84
101;101-Avellaneda;Market;GRAN BS. AS.;4;4;4;4;4;4;3;2;3;6;6;3;47
108;108-Resistencia (Tía);Market;CHACO;5;5;5;5;5;5;5;5;5;5;5;5;60
109;109-La Plata I;Market;RESTO BS. AS.;5;5;5;5;5;5;5;5;5;5;5;5;60
110;110-Corrientes;Market;CORRIENTES;5;5;5;5;5;5;5;5;5;5;5;5;60
112;112-Salta;Hipermercado;SALTA;7;7;7;7;7;7;7;7;7;7;7;7;84
114;114-B. Blanca;Market;RESTO BS. AS.;5;5;5;5;5;5;5;5;5;5;5;5;60
115;115-Flores;Market;CAP. FED.;3;3;3;3;3;3;3;3;2;3;3;2;35
116;116-Avenida Sta. Fe;Market;CAP. FED.;6;6;6;6;6;6;6;5;6;7;7;5;73
118;118-Mercado;Market;CAP. FED.;11;11;11;11;11;11;11;11;10;10;10;13;131
119;119-Río IV;Market;CORDOBA;4;4;4;4;4;4;4;4;4;4;4;4;48
120;120-Belgrano (Cabildo);Market;CAP. FED.;4;4;4;4;4;4;2;3;3;6;6;5;50
