;SUEZ;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;dec-16;
Market;Winkel / Magasin;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;poids kg;
1;001 ANTWERPEN         ;3 998;2 012;540;2 854;2 038;5 413;5 040;6 050;5 378;3 606;4 679;5 536;
55;055 KAPELLEN         ;3 615;1 176;602;3 114;1 257;3 599;3 528;4 830;3 736;3 099;3 932;3 161;
102;102 HEUSDEN         ;2 884;4 514;2 377;1 786;4 487;1 803;2 282;2 671;2 191;3 149;2 460;3 180;
105;105 ANDERLECHT      ;7 100;5 540;6 748;7 020;8 779;6 860;7 195;6 340;7 260;5 820;6 780;9 030;
106;106 MORTSEL         ;4 659;1 377;802;3 914;1 148;4 318;4 360;4 333;5 427;3 600;2 972;4 552;
109;109 MOL             ;2 621;2 719;2 656;2 913;2 184;2 184;2 847;2 375;2 669;2 075;2 280;2 180;
110;110 AARSCHOT        ;2 056;2 143;2 333;1 736;3 103;1 394;1 823;2 179;2 035;1 852;1 920;2 960;
111;111 TONGEREN        ;4 482;5 424;6 674;5 700;2 397;6 097;6 026;5 490;6 867;4 991;6 140;5 800;
116;116 OOSTENDE        ;2 608;2 659;2 341;2 488;3 009;3 175;2 964;3 323;3 028;2 391;2 759;1 758;
117;117 IXELLES      ;913;5 145;4 475;2 870;4 042;4 989;4 940;3 542;8 573;9 318;8 220;10 150;
121;121 WOLUWE ST LAM;3 144;3 457;3 360;2 446;2 756;3 954;3 851;3 806;2 340;6 908;4 641;3 680;
127;127 TURNHOUT        ;4 884;1 972;1 003;3 513;1 290;4 976;4 777;5 908;4 698;4 201;3 911;4 602;
128;128 KNOKKE          ;3 444;2 206;3 876;5 565;5 202;3 353;4 178;5 305;4 623;4 308;4 658;6 418;
130;130 VILVOORDE       ;3 240;3 640;2 780;3 260;3 912;3 280;3 540;3 300;4 180;3 100;3 620;3 780;
131;131 LONDERZEEL      ;4 520;2 860;3 320;3 220;3 700;3 700;4 120;3 900;3 780;2 900;3 420;4 000;
139;139 HEVERLEE        ;820;875;2 161;1 392;1 684;980;690;1 034;548;944;534;683;
142;142 IXELLES MOLIERE;4 834;4 337;4 625;5 216;6 421;6 652;5 831;6 128;4 192;4 108;4 416;1 400;
146;146 MOLENVELD EDEGEM;4 288;1 239;1 080;4 222;2 017;2 766;2 938;4 251;5 271;3 243;3 327;5 471;
148;148 SCHEEPSDALE BRUG;3 983;2 991;3 534;2 856;3 169;2 993;3 804;3 858;3 772;3 742;3 485;4 155;
151;151 HOBOKEN         ;5 459;1 771;1 404;4 687;1 399;5 038;5 607;6 762;5 527;4 322;2 788;4 935;
157;157 WILRIJK         ;5 671;2 754;720;6 277;3 513;4 331;5 105;6 252;5 985;5 860;5 566;7 887;
160;160 UCCLE        ;2 507;2 615;2 760;2 366;3 372;4 505;4 347;3 999;2 692;6 205;6 929;3 400;
