MOD1;MOD2;Sigla;Regional;Mês;Quantidade coletas aterro;Quantidade coletas compostagem;Quantidade coletas recicalgem;Quantidade coletas sebo e osso;Peso aterro;Peso compostagem;Peso recicláveis;Peso sebo e osso;Porcentagem aterro;Porcentagem compostagem;Porcentagem recicláveis;Porcentagem sebo e osso;Budget recicláveis;Venda SAP recicláveis;Venda parceiros recicláveis;Valor venda seo e osso;Venda PGC;Venda Perecíveis;Venda PGC + Perecíveis;Indicador Aterro;Indicador compostagem;Indicador Reciclagem;Indicador sebo e osso;MTR Aterro;MTR compostagem;MTR Reciclagem;MTR sebo e osso;MTR 4a via faltando;Qualidade das rondas;Numero de eventos rondas;Numero de eventos rondas 0
CENTRO OESTE/MANAUS43282;BAN43282;BAN;CENTRO OESTE/MANAUS;01/07/2018;7;0;6;0;49 690;0;12 922;0;79,36%;;20,64%;;0;3 258;2 931;0;4 286;1 420;5 706;8,71;;2,26;;7;0;0;0;3;90;32;
CENTRO OESTE/MANAUS43282;BSB43282;BSB;CENTRO OESTE/MANAUS;01/07/2018;10;0;5;0;71 970;0;14 974;0;82,78%;;17,22%;;0;5 657;4 062;0;7 212;2 697;9 909;7,26;;1,51;;8;0;0;0;4;98;164;
CENTRO OESTE/MANAUS43282;BST43282;BST;CENTRO OESTE/MANAUS;01/07/2018;8;0;5;0;60 140;0;9 222;0;86,70%;;13,30%;;0;4 006;3 224;0;3 893;1 287;5 180;11,61;;1,78;;8;0;0;0;6;99;31;
CENTRO OESTE/MANAUS43282;CMC43282;CMC;CENTRO OESTE/MANAUS;01/07/2018;13;0;13;0;24 726;0;6 956;0;78,04%;;21,96%;;0;0;751;0;1 816;662;2 478;9,98;;2,81;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;CMS43282;CMS;CENTRO OESTE/MANAUS;01/07/2018;12;0;8;0;38 385;0;8 960;0;81,08%;;18,92%;;0;0;1 010;0;2 010;650;2 660;14,43;;3,37;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;GOP43282;GOP;CENTRO OESTE/MANAUS;01/07/2018;2;0;2;0;12 960;0;8 348;0;60,82%;;39,18%;;0;459;1 015;0;2 498;506;3 003;4,32;;2,78;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;GOS43282;GOS;CENTRO OESTE/MANAUS;01/07/2018;9;0;4;0;51 210;0;30 030;0;63,04%;;36,96%;;0;2 681;3 595;0;9 422;3 290;12 712;4,03;;2,36;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;GSD43282;GSD;CENTRO OESTE/MANAUS;01/07/2018;9;0;1;0;34 720;0;10 308;0;77,11%;;22,89%;;0;1 118;1 206;0;4 945;1 330;6 275;5,53;;1,64;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;MAD43282;MAD;CENTRO OESTE/MANAUS;01/07/2018;5;0;4;0;23 710;0;4 520;0;83,99%;;16,01%;;0;0;531;0;2 965;1 097;4 062;5,84;;1,11;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;MNS43282;MNS;CENTRO OESTE/MANAUS;01/07/2018;19;0;10;0;38 895;0;12 541;0;75,62%;;24,38%;;0;611;1 406;0;3 769;1 479;5 248;7,41;;2,39;;0;0;0;0;0;0;0;
CENTRO OESTE/MANAUS43282;MPN43282;MPN;CENTRO OESTE/MANAUS;01/07/2018;13;0;10;0;32 431;0;12 477;0;72,22%;;27,78%;;0;391;1 385;0;3 453;1 439;4 892;6,63;;2,55;;0;0;0;0;0;0;0;
MINAS43282;BHA43282;BHA;MINAS;01/07/2018;2;6;4;4;6 660;12 070;9 677;1 079;22,59%;40,94%;32,82%;3,66%;1 506;1 424;1 392;32;2 601;816;3 416;1,95;3,53;2,83;0,32;2;5;5;4;0;85;52;
MINAS43282;BHC43282;BHC;MINAS;01/07/2018;3;8;7;1;15 520;11 640;11 532;307;39,80%;29,85%;29,57%;0,79%;1 268;1 758;1 749;9;2 937;910;3 847;4,03;3,03;3;0,08;2;9;8;1;0;98;22;
MINAS43282;BHD43282;BHD;MINAS;01/07/2018;2;4;2;5;7 720;9 430;7 722;1 569;29,20%;35,67%;29,20%;5,93%;1 541;909;867;47;2 426;822;3 249;2,38;2,9;2,38;0,48;2;3;1;4;0;92;1;
MINAS43282;BHP43282;BHP;MINAS;01/07/2018;5;7;6;4;11 919;13 700;17 081;1 446;27,00%;31,03%;38,69%;3,28%;0;1 936;1 924;43;2 814;1 046;3 860;3,09;3,55;4,43;0,37;4;4;6;2;0;99;49;
MINAS43282;BHS43282;BHS;MINAS;01/07/2018;1;7;9;4;750;18 970;13 044;940;2,23%;56,28%;38,70%;2,79%;2 131;1 808;1 777;28;3 776;1 439;5 215;0,14;3,64;2,5;0,18;1;6;7;5;0;82;246;
MINAS43282;ECG43282;ECG;MINAS;01/07/2018;26;0;2;0;0;0;9 280;0;;;100,00%;;0;0;1 472;0;2 838;1 164;4 002;;;2,32;;0;0;0;0;0;89;0;
MINAS43282;JFO43282;JFO;MINAS;01/07/2018;6;10;5;4;12 975;11 450;12 824;778;34,12%;30,11%;33,72%;2,04%;0;1 735;2 792;23;3 187;1 040;4 227;3,07;2,71;3,03;0,18;2;3;5;0;0;92;0;
MINAS43282;UBL43282;UBL;MINAS;01/07/2018;4;2;7;0;14 517;4 010;9 134;0;52,48%;14,50%;33,02%;;0;1 403;2 880;0;3 143;1 107;4 250;3,42;0,94;2,15;;2;2;6;0;0;100;0;
NORDESTE43282;FOB43282;FOB;NORDESTE;01/07/2018;13;0;0;0;29 250;0;0;0;100,00%;;;;0;0;0;0;2 440;1 191;3 630;8,06;;;;0;0;0;0;0;0;0;
NORDESTE43282;FOR43282;FOR;NORDESTE;01/07/2018;12;1;0;0;29 250;2 250;0;0;92,86%;7,14%;;;0;0;0;0;3 857;1 868;5 725;5,11;0,39;;;0;0;0;0;0;0;0;
NORDESTE43282;JPB43282;JPB;NORDESTE;01/07/2018;4;0;3;0;14 360;0;9 227;0;60,88%;;39,12%;;0;0;638;0;2 185;1 094;3 279;4,38;;2,81;;5;0;4;0;5;0;0;
NORDESTE43282;JPE43282;JPE;NORDESTE;01/07/2018;5;0;5;0;35 190;0;19 629;0;64,19%;;35,81%;;0;0;1 297;0;3 884;1 826;5 710;6,16;;3,44;;5;0;5;0;6;0;0;
NORDESTE43282;NTL43282;NTL;NORDESTE;01/07/2018;5;0;0;0;32 650;0;0;0;100,00%;;;;4 985;0;0;0;5 164;3 025;8 188;3,99;;;;0;0;0;0;0;0;0;
NORDESTE43282;NZN43282;NZN;NORDESTE;01/07/2018;4;0;0;0;21 980;0;0;0;100,00%;;;;4 404;0;0;0;2 828;1 257;4 085;5,38;;;;0;0;0;0;0;0;0;
NORDESTE43282;RBV43282;RBV;NORDESTE;01/07/2018;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;
NORDESTE43282;RDM43282;RDM;NORDESTE;01/07/2018;11;0;17;0;26 750;0;22 791;0;54,00%;;46,00%;;0;0;1 406;0;4 051;2 495;6 545;4,09;;3,48;;4;0;12;2;2;0;0;
NORDESTE43282;REC43282;REC;NORDESTE;01/07/2018;10;0;10;0;151 940;0;37 050;0;80,40%;;19,60%;;0;0;2 419;0;7 147;4 544;11 691;13;;3,17;;0;0;8;0;0;0;0;
RIO DE JANEIRO43282;CAL43282;CAL;RIO DE JANEIRO;01/07/2018;2;5;1;0;9 680;15 660;6 520;0;30,38%;49,15%;20,46%;;0;2 248;2 551;0;2 064;1 168;3 232;2,99;4,84;2,02;;0;0;0;0;0;92;0;
RIO DE JANEIRO43282;CBR43282;CBR;RIO DE JANEIRO;01/07/2018;4;1;4;0;32 730;3 500;26 260;0;52,38%;5,60%;42,02%;;2 210;10 444;10 468;0;4 653;2 027;6 680;4,9;0,52;3,93;;0;0;0;0;0;96;0;
RIO DE JANEIRO43282;CCP43282;CCP;RIO DE JANEIRO;01/07/2018;3;9;4;0;29 170;4 920;16 770;0;57,35%;9,67%;32,97%;;3 765;4 272;6 691;0;4 164;2 342;6 505;4,48;0,76;2,58;;0;0;0;0;0;96;60;
RIO DE JANEIRO43282;DDC43282;DDC;RIO DE JANEIRO;01/07/2018;31;4;3;0;18 000;14 000;11 880;0;41,02%;31,91%;27,07%;;0;4 721;4 786;0;2 645;1 200;3 845;4,68;3,64;3,09;;0;0;0;0;0;97;1;
RIO DE JANEIRO43282;RJB43282;RJB;RIO DE JANEIRO;01/07/2018;9;4;6;0;78 700;14 000;41 376;0;58,70%;10,44%;30,86%;;2 706;11 767;17 004;0;6 813;3 699;10 513;7,49;1,33;3,94;;0;0;0;0;0;92;142;
RIO DE JANEIRO43282;RJD43282;RJD;RIO DE JANEIRO;01/07/2018;4;4;1;0;39 070;14 000;7 090;0;64,94%;23,27%;11,79%;;0;2 440;2 567;0;5 098;2 451;7 549;5,18;1,85;0,94;;0;0;0;0;0;83;2;
RIO DE JANEIRO43282;RJJ43282;RJJ;RIO DE JANEIRO;01/07/2018;4;4;3;0;38 720;14 000;18 730;0;54,19%;19,59%;26,21%;;0;7 243;7 114;0;4 863;2 272;7 135;5,43;1,96;2,63;;0;0;0;0;0;99;39;
RIO DE JANEIRO43282;RJM43282;RJM;RIO DE JANEIRO;01/07/2018;6;3;4;0;53 820;10 500;21 940;0;62,39%;12,17%;25,43%;;0;5 108;7 914;0;5 631;2 893;8 524;6,31;1,23;2,57;;0;0;0;0;0;89;0;
RIO DE JANEIRO43282;RJS43282;RJS;RIO DE JANEIRO;01/07/2018;5;4;4;0;43 630;14 000;31 960;0;48,70%;15,63%;35,67%;;0;6 905;12 414;0;6 306;3 341;9 647;4,52;1,45;3,31;;0;0;0;0;0;85;0;
RIO DE JANEIRO43282;VVS43282;VVS;RIO DE JANEIRO;01/07/2018;5;0;4;0;52 350;0;10 780;0;82,92%;;17,08%;;0;3 343;2 759;0;3 400;1 415;4 814;10,87;;2,24;;0;0;0;0;0;82;0;
RS / PARANÁ43282;CNS43282;CNS;RS / PARANÁ;01/07/2018;3;0;3;0;15 340;0;19 480;0;44,06%;;55,94%;;341;0;4 624;0;3 733;1 235;4 969;3,09;;3,92;;0;0;0;0;0;0;0;
RS / PARANÁ43282;CWB43282;CWB;RS / PARANÁ;01/07/2018;5;0;2;0;48 560;0;12 130;0;80,01%;;19,99%;;0;0;0;0;3 276;1 278;4 554;10,66;;2,66;;0;0;0;0;0;0;0;
RS / PARANÁ43282;CWC43282;CWC;RS / PARANÁ;01/07/2018;9;0;2;0;83 780;0;10 250;0;89,10%;;10,90%;;0;0;0;0;4 134;2 011;6 144;13,64;;1,67;;0;0;0;0;0;0;0;
RS / PARANÁ43282;CWP43282;CWP;RS / PARANÁ;01/07/2018;6;0;2;0;55 600;0;9 440;0;85,49%;;14,51%;;0;0;0;0;2 662;1 010;3 671;15,14;;2,57;;0;0;0;0;0;0;0;
RS / PARANÁ43282;CXS43282;CXS;RS / PARANÁ;01/07/2018;31;0;0;0;19 252;0;0;0;100,00%;;;;0;0;0;0;2 691;643;3 334;5,77;;;;0;0;0;0;0;87;0;
RS / PARANÁ43282;GRV43282;GRV;RS / PARANÁ;01/07/2018;0;0;0;0;0;0;0;0;;;;;0;0;0;0;2 185;822;3 007;;;;;0;0;0;0;0;0;0;
RS / PARANÁ43282;LDB43282;LDB;RS / PARANÁ;01/07/2018;0;0;0;0;0;0;0;0;;;;;0;0;0;0;3 635;1 562;5 197;;;;;0;0;0;0;0;0;0;
RS / PARANÁ43282;POA43282;POA;RS / PARANÁ;01/07/2018;7;0;4;0;42 780;0;21 850;0;66,19%;;33,81%;;428;0;5 332;0;7 419;2 895;10 315;4,15;;2,12;;0;0;0;0;0;0;0;
RS / PARANÁ43282;PPA43282;PPA;RS / PARANÁ;01/07/2018;6;0;4;0;0;0;0;0;;;;;0;0;0;0;3 584;1 665;5 249;;;;;0;0;0;0;0;0;0;
RS / PARANÁ43282;SMA43282;SMA;RS / PARANÁ;01/07/2018;0;0;0;0;0;0;0;0;;;;;0;0;0;0;2 422;1 214;3 636;;;;;0;0;0;0;0;0;0;
SP ABC/BAIXADA43282;BSA43282;BSA;SP ABC/BAIXADA;01/07/2018;2;7;3;3;14 410;3 000;14 430;2 025;42,55%;8,86%;42,61%;5,98%;4 593;6 376;6 058;203;3 212;1 308;4 520;3,19;0,66;3,19;0,45;1;2;2;0;0;98;1;
SP ABC/BAIXADA43282;BSP43282;BSP;SP ABC/BAIXADA;01/07/2018;3;0;4;6;23 200;0;20 670;1 829;50,77%;;45,23%;4,00%;3 839;6 870;8 578;183;4 818;1 794;6 613;3,51;;3,13;0,28;3;0;4;0;0;92;11;
SP ABC/BAIXADA43282;EST43282;EST;SP ABC/BAIXADA;01/07/2018;4;0;2;7;25 880;0;17 430;2 225;56,84%;;38,28%;4,89%;510;7 342;7 181;223;4 085;2 071;6 157;4,2;;2,83;0,36;4;0;2;0;1;91;91;
SP ABC/BAIXADA43282;GUA43282;GUA;SP ABC/BAIXADA;01/07/2018;2;0;1;2;16 590;0;6 760;1 028;68,05%;;27,73%;4,21%;1 261;2 910;2 839;103;3 285;1 417;4 702;3,53;;1,44;0,22;0;0;1;0;0;98;108;
SP ABC/BAIXADA43282;SAV43282;SAV;SP ABC/BAIXADA;01/07/2018;4;0;2;4;33 930;0;13 740;1 992;68,32%;;27,67%;4,01%;3 946;5 830;5 706;199;4 012;1 964;5 976;5,68;;2,3;0,33;4;0;1;0;2;88;54;
SP ABC/BAIXADA43282;SBC43282;SBC;SP ABC/BAIXADA;01/07/2018;5;11;5;3;38 780;4 200;30 260;912;52,30%;5,66%;40,81%;1,23%;0;11 962;11 805;91;6 133;2 416;8 549;4,54;0,49;3,54;0,11;3;4;3;0;0;90;135;
SP ABC/BAIXADA43282;SBD43282;SBD;SP ABC/BAIXADA;01/07/2018;3;11;3;4;15 190;4 200;18 630;1 709;38,23%;10,57%;46,89%;4,30%;5 852;4 547;6 879;171;4 802;1 813;6 615;2,3;0,63;2,82;0,26;2;5;1;0;1;0;0;
