DIVISAO;REGIONAL;CODREG;CODFORM;FORMATO;CODLOJA;LOJA;LOJACOMPLETO;UFLOJA;CODFORNEC;FORNEC;DATA;MES;DEPTO;SETOR;CODCAUSA;CAUSA;CODRMS;PRODUTO;QTDQID;VALQID
EXPRESS;EXPRESS - SP CAPITAL;71;9;EXPRESS;914;XEQ;XEQ - CARREFOUR EXPRESS ECA DE QUEIROZ;SP;64904295;CAMIL;22/03/2016;MAR;01 - PGC;14 - SECA;92;Recup Perda;197564;ACUCAR REF UNIAO 1kg;-9802530;-30975994,8
REGIOES;MINAS;7;1;HIPER;113;BHS;BHS - BH SHOPPING;MG;14008695;HIDRO SABOR HORTICULTURA LTDA;01/03/2016;MAR;02 - PERECIVEIS;22 - FLV;12;Deterioracao;9714073;ALFACE CRESPA HIDRO SABOR UND;-789911;-2243347,24
REGIOES;MINAS;7;1;HIPER;113;BHS;BHS - BH SHOPPING;MG;14008695;HIDRO SABOR HORTICULTURA LTDA;01/03/2016;MAR;02 - PERECIVEIS;22 - FLV;22;Estorno Deterioracao;9714073;ALFACE CRESPA HIDRO SABOR UND;789911;2243347,24
SAO PAULO;SP ABC / BAIXADA;105;1;HIPER;133;SCS;SCS - SAO CAETANO;SP;180001;CRFO FLV;01/03/2016;MAR;02 - PERECIVEIS;22 - FLV;22;Estorno Deterioracao;8969892;PERA ERCULINI BDJ 1kg;789891;12638256
SAO PAULO;SP ABC / BAIXADA;105;1;HIPER;133;SCS;SCS - SAO CAETANO;SP;180001;CRFO FLV;01/03/2016;MAR;02 - PERECIVEIS;22 - FLV;12;Deterioracao;8969892;PERA ERCULINI BDJ 1kg;-789851;-12637616
OPERACIONAL NORTE;BAIRRO - DF;2;2;BAIRRO;277;PL2;PL2 - LAGO SUL II;DF;588458;FUGINI;15/03/2016;MAR;01 - PGC;14 - SECA;12;Deterioracao;7452250;MOLHO BRANCO FUGINI STAND UP 260g;-789755;-2005977,7
OPERACIONAL NORTE;BAIRRO - DF;2;2;BAIRRO;277;PL2;PL2 - LAGO SUL II;DF;588458;FUGINI;15/03/2016;MAR;01 - PGC;14 - SECA;22;Estorno Deterioracao;7452250;MOLHO BRANCO FUGINI STAND UP 260g;789755;2005977,7
REGIOES;MINAS;7;1;HIPER;235;BHD;BHD - DEL REY;MG;78908266;MILI;01/03/2016;MAR;01 - PGC;12 - PERFUMARIA;12;Deterioracao;9398082;PAPEL HIG CARREFOUR FD NEUTRO 4UN;-789752;-2700951,84
REGIOES;MINAS;7;1;HIPER;235;BHD;BHD - DEL REY;MG;78908266;MILI;01/03/2016;MAR;01 - PGC;12 - PERFUMARIA;22;Estorno Deterioracao;9398082;PAPEL HIG CARREFOUR FD NEUTRO 4UN;789752;2700951,84
REGIOES;MINAS;7;1;HIPER;235;BHD;BHD - DEL REY;MG;50564053;BOMBRIL;01/03/2016;MAR;01 - PGC;11 - DPH;12;Deterioracao;180980;DETERG LIQ LIMPOL COCO 500ml;-789735;-1058244,9
