"Format"|"Store code"|"Store"|"Date"|"Section"|"Section Code"|"Item category"|"Item category code"|"Item sub-category"|"Sub Family code"|"Item code"|"Item description"|"Shrinkage code"|"Shrinkage description"|"Shrinkage quantity"|"Weight in kg"|"Shrinkage amount"
HYP - Hipermarket|PLA002|CARREFOUR KRAKOW ZAKOPIANKA|02-DEC-16|WARZYWA I OWOCE|22|ZIOLA SWIEZE|2217|ZIOLA SWIEZE|22170|5907488400535|KOPEREK P®CZEK 1 SZTUKA|10||-5||-5.75
HYP - Hipermarket|PLA074|CARREFOUR DEBICA|23-DEC-16|WARZYWA I OWOCE|22|WINOGRONA|2205|WINOGRONA BIALE|22050|8421747004137|WINOGRONO BEZPESTKOWE JASNE 500 g|10||-5||-30.5
HYP - Hipermarket|PLA010|CARREFOUR POZNAN POSNANIA|23-DEC-16|P.L.S.|15|SERY SALATKOWE, KANAPKOWE|1503|Mozzarella|15033|5901166000048|MOZZARELLA LATTEO 250g OMEGA3|50||-1||-5.91
HYP - Hipermarket|PLA078|CARREFOUR PULAWY|08-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI Z DODATKAMI MROøONE|2354|BUùKI Z DODATKAMI MROøONE|23540|5900868002695|BUùKA 3 ZIARNA 50 g|70||-2||-1.08
HYP - Hipermarket|PLA514|CARREFOUR KWIDZYN|08-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|POMIDORY|22132|5905784334110|MC POMIDOR GALAZKA 700g|10||-1||-4.65
HYP - Hipermarket|PLA006|CARREFOUR WROCLAW|08-DEC-16|PIEKARNIA / CIASTKARNIA|23|CHLEB CIEMNY MROøONY|2351|CHLEB CIEMNY MROøONY|23510|2213510000004|CHLEB KROLEWSKI NA WAGE|70||-1.53||-5.967
SUP - Supermarket|PLP233|MARKET WARSZAWA STARE BABICE|08-DEC-16|P.L.S.|15|DANIA GOTOWE GARMAZERYJNE|1580|DANIA MIESNE, DROBIOWE|15802|5906713261811|STEKI 500g+100g GRATIS|50||-1||-5.06
SUP - Supermarket|PLP761|CARREFOUR MARKET KROSNO CZAJKOWSKIEGO|08-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|POMIDORY|22132|5901549346190|POMIDOR MALINOWY 500 g|50||-1||-4.9
HYP - Hipermarket|PLA016|CARREFOUR WARSZAWA WILENSKA|21-DEC-16|WARZYWA I OWOCE|22|WARZYWA OKOPOWE|2216|ZIEMNIAKI|22160|2022547700005|ZIEMNIAKI DO GOTOWANIA 2,5 kg|50||-2||-5.4
SUP - Supermarket|PLP171|MARKET OSTRODA|21-DEC-16|PRODUKTY SUCHE SUCHARY|14|PRODUKTY DIETETYCZNE|1436|PRODUKTY BEZGLUTENOWE|14365|5948935003596|MAKARON BEZGLUTEN 300g KACZUSZKI|50||-3||-10.05
HYP - Hipermarket|PLA081|CARREFOUR PABIANICE|09-DEC-16|P.L.S.|15|MLEKO SWIEZE|1516|MLEKO SWIEZE|15160|5900120000209|MLEKO SWIEZE 3,2% 1L BUTELKA|50||-1||-2.23
HYP - Hipermarket|PLA007|CARREFOUR SZCZECIN|06-DEC-16|W®DLINY|20|SERY ZOLTE|2014|SERY ZOLTE Z DZIURAMI|20140|2210350000003|SER BABUNI SERENADA|10||-.13||-2.407
SUP - Supermarket|PLP150|MARKET KOLO|06-DEC-16|WARZYWA I OWOCE|22|OWOCE CYTRUSOWE|2200|POMARANCZE|22001|2279000000008|POMARAøCZE LUZ|50||-1.78||-5.68
SUP - Supermarket|PLP623|MARKET KATOWICE GISZOWIEC|03-DEC-16|P.L.S.|15|TWAROGI I SERKI WIEJSKIE|1517|SERKI WIEJSKIE|15175|5900531000010|SEREK WIEJSKI 200g PI§TNICA|50||-1||-1.78
HYP - Hipermarket|PLA037|CARREFOUR BYTOM|03-DEC-16|P.L.S.|15|JOGURTY|1511|JOGURTY PROBIOTYCZNE|15111|5900643005170|ACTIMEL NATURALNY 8X100g DANONE|50||-2||-17.44
SUP - Supermarket|PLP661|MARKET LEDZINY|23-DEC-16|WARZYWA I OWOCE|22|OWOCE CYTRUSOWE|2200|GRAPEFRUIT|22002|2279270000005|GRAPEFRUIT CZERWONY kg|50||-3.17||-13.31
HYP - Hipermarket|PLA505|CARREFOUR BOLESLAWIEC|23-DEC-16|P.L.S.|15|TWAROGI I SERKI WIEJSKIE|1517|SERKI WIEJSKIE|15175|5900531000010|SEREK WIEJSKI 200g PI§TNICA|10||-1||-1.81
HYP - Hipermarket|PLA039|CARREFOUR SOSNOWIEC|03-DEC-16|W®DLINY|20|SZYNKI I INNE WEDZONKI|2021|WEDZONKI|20211|2228120000009|SCHAB PO KRøLEWSKU|10||-.1||-2.027
HYP - Hipermarket|PLA530|CARREFOUR WOLOMIN|04-DEC-16|P.L.S.|15|SERY SALATKOWE, KANAPKOWE|1503|Mozzarella|15033|8000430135060|MOZZARELLA GALBANI 200g MAXI|50||-9||-58.23
HYP - Hipermarket|PLA517|CARREFOUR MOKOTOW|08-DEC-16|P.L.S.|15|SMIETANA|1512|SMIETANA 13-22%|15121|5900120001299|SMIETANA 18% 400g|50||-1||-2.6
SUP - Supermarket|PLP368|MARKET LODZ ZARZEWSKA|08-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI SPECJALNE MROøONE|2355|BUùKI SPECJALNE MROøONE|23550|5906739741328|PASZTECIK Z PIECZARKAMI 75 g|50||-2||-2.04
HYP - Hipermarket|PLA023|CARREFOUR GLIWICE|29-DEC-16|PRODUKTY SUCHE SUCHARY|14|SLONE PRZEKASKI|1481|CHIPSY|14814|5905187114715|CRUNCHIPS X-CUT 140g KEBAB Z CEBULA|50||-1||-3.99
SUP - Supermarket|PLP672|MARKET NOWY SACZ|19-DEC-16|WARZYWA I OWOCE|22|MELONY/ARBUZY|2206|MELONY|22061|2288360000009|MELON øøùTY kg|50||-1.28||-5.81
HYP - Hipermarket|PLP141|CARREFOUR TOMASZOW MAZ.|19-DEC-16|WARZYWA I OWOCE|22|JABLKA I GRUSZKI|2203|JABLKA|22030|2212170000003|Jabàka LUZ Grupa 2|10||-.31||-.7
SUP - Supermarket|PLP360|MARKET WARSZAWA MODZELEWSKIEGO|19-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|OGORKI|22131|2211210000003|OGOREK GRUNTOWY WAZ|50||-2.81||-15.31
HYP - Hipermarket|PLA514|CARREFOUR KWIDZYN|21-DEC-16|P.L.S.|15|PAROWKI|1552|PAROWKI DROBIOWE|15521|0000059042372|PAROWKI JEDYNKI SER INDYK 200g B/G|50||-3||-11.28
SUP - Supermarket|PLP131|CARREFOUR MARKET RUDA SLASKA|21-DEC-16|W®DLINY|20|PAKOWANE WEDLINY MIESNE|2029|W®DLINY MI®SNE OC|20291|5908230516306|KABANOSY EXCLUSIVE WIEPRZOWE 50 g|50||-1||-2.14
SUP - Supermarket|PLP114|MARKET WARSZAWA SADYBA|05-DEC-16|PIEKARNIA / CIASTKARNIA|23|DOSTAWCY REGIONALNI R23|2340|DOSTAWCA KLICH|23400|5906295113188|TIRAMISU 300g|11||1||5.19
HYP - Hipermarket|PLA508|CARREFOUR KEDZIERZYN-KOZLE|01-DEC-16|PIEKARNIA / CIASTKARNIA|23|CHLEB SPECJALNY MROøONY|2352|CHLEB SPECJALNY MROøONY|23520|2213520000001|CHLEB ORKISZOWY NA WAGE|50||-.93||-4.426
SUP - Supermarket|PLP651|MARKET MYSLENICE|01-DEC-16|W®DLINY|20|SERY ZOLTE|2014|Z PRZYPRAWAMI I ZIOLAMI|20143|2241060000007|SER SALAMI Z POMIDORAMI I BAZYLI§|50||-.15||-2.63
HYP - Hipermarket|PLA502|CARREFOUR OLKUSZ|12-DEC-16|PRODUKTY SUCHE SUCHARY|14|SLODYCZE CZEKOLADOWE|1422|FIGURKI CZEKOLADOWE|14223|4013700028607|BN BALWAN 75g Z BIALEJ CZEKOLADY|10||-1||-4.63
HYP - Hipermarket|PLA067|CARREFOUR JASTRZEBIE ZDROJ|12-DEC-16|W®DLINY|20|SZYNKI I INNE WEDZONKI|2021|WEDZONKI|20211|2241760000000|W®DZONKA óL§SKA|10||-.05||-.899
SUP - Supermarket|PLP153|EXPRESS RZESZOW REJTANA|15-DEC-16|WARZYWA I OWOCE|22|WARZYWA KORZENIOWE|2211|WARZYWA KORZENIOWE|22110|5907488401051|RZODKIEWKA P®CZEK SZTUKA|50||-3||-4.5
HYP - Hipermarket|PLA523|CARREFOUR BIALA PODLASKA|11-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI JASNE MROøONE|2353|BUùKI JASNE MROøONE|23530|5901752103306|BUùKA Z PIECA KAMIENNEGO JASNA 77g|50||-3||-2.4
HYP - Hipermarket|PLA056|CARREFOUR LODZ PRZYBYSZEWSKIEGO|04-DEC-16|W®DLINY|20|SZYNKI I INNE WEDZONKI|2021|SZYNKA|20210|2357510000005|SZYNKA WIEDEøSKA OLEWNIK|10||-.06||-1.399
HYP - Hipermarket|PLA078|CARREFOUR PULAWY|04-DEC-16|PIEKARNIA / CIASTKARNIA|23|FRANCUSKIE SùODKIE MROøON|2360|FRANCUSKIE SùODKIE MROøON|23602|3291810019734|TWISTER Z CZEKOLAD§ 80 g|70||-1||-1.17
SUP - Supermarket|PLP680|MARKET KOZIENICE|11-DEC-16|P.L.S.|15|JOGURTY|1511|JOGURTY PROBIOTYCZNE|15111|5900643026151|ACTIVIA DRINK 195g SLIWKA|50||-1||-1.68
SUP - Supermarket|PLP109|MARKET BYDGOSZCZ WYZWOLENIA|13-DEC-16|WARZYWA I OWOCE|22|WARZYWA OKOPOWE|2216|CEBULE I CZOSNEK|22161|2273560000003|CEBULA LUZ|50||-.45||-.36
SUP - Supermarket|PLP154|MARKET RZESZOW OBRONCOW|13-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI JASNE MROøONE|2353|BUùKI JASNE MROøONE|23530|2030290100003|BUùKA WIEJSKA JASNA 105 g|50||-3||-1.65
SUP - Supermarket|PLP219|CARREFOUR MARKET MYSZKOW|07-DEC-16|WARZYWA I OWOCE|22|WARZYWA OKOPOWE|2216|CEBULE I CZOSNEK|22161|2273560000003|CEBULA LUZ|50||-.9||-.59
HYP - Hipermarket|PLA051|CARREFOUR BIELSKO-BIALA|07-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI CIEMNE MROøONE|2356|BUùKI CIEMNE MROøONE|23560|5902054001604|BAGIETKA KORZENNA MAùA 160 g|50||-1||-1.48
HYP - Hipermarket|PLA007|CARREFOUR SZCZECIN|11-DEC-16|W®DLINY|20|SERY ZOLTE|2014|SERY ZOLTE Z DZIURAMI|20140|2277210000009|SER KRøLEWSKI SIERPC|10||-1.02||-21.001
SUP - Supermarket|PLP765|MARKET SANOK|11-DEC-16|PIEKARNIA / CIASTKARNIA|23|CHLEB SPECJALNY MROøONY|2352|CHLEB SPECJALNY MROøONY|23520|2000002591375|CHLEB FINTES 325 g|50||-1||-2.44
HYP - Hipermarket|PLA508|CARREFOUR KEDZIERZYN-KOZLE|11-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI Z DODATKAMI MROøONE|2354|BUùKI Z DODATKAMI MROøONE|23540|2030948400004|CIABATTA FINTES 85 g|50||-3||-1.89
SUP - Supermarket|PLP359|MARKET WARSZAWA SIERPINSKIEGO|16-DEC-16|WARZYWA I OWOCE|22|WARZYWA KORZENIOWE|2211|WARZYWA KORZENIOWE|22110|2210530000007|PIETRUSZKA LUZ|50||-.19||-.48
SUP - Supermarket|PLP382|MARKET SIEDLCE|13-DEC-16|WARZYWA I OWOCE|22|WARZYWA KORZENIOWE|2211|WARZYWA KORZENIOWE|22110|2222640000006|MARCHEW LUZ|50||-13.64||-11.6
HYP - Hipermarket|PLA036|CARREFOUR MINSK MAZOWIECKI|05-DEC-16|W®DLINY|20|KIELBASY MIESNE|2022|KIELBASA GRILLOWA|20220|2356870000007|KIEùBASA MAZOWIECKA|10||-.31||-3.292
HYP - Hipermarket|PLA050|CARREFOUR LEGNICA|24-DEC-16|PRODUKTY SUCHE SUCHARY|14|POKARM DLA PSOW|1490|SUCHA KARMA DLA PSOW|14902|5900951255038|KARMA SP PEDIGREE 2kg MA RAS JR KU|10||-1||-13.29
SUP - Supermarket|PLP186|CARREFOUR MARKET OSTROW|15-DEC-16|PIEKARNIA / CIASTKARNIA|23|BUùKI Z DODATKAMI MROøONE|2354|BUùKI Z DODATKAMI MROøONE|23540|5900868004477|CIABATTA Z CEBUL§ 70 g|50||-2||-1.24
SUP - Supermarket|PLP641|MARKET ZABRZE JORDANA|23-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|POMIDORY|22132|2212580000006|POMIDOR LUZ|50||-2.11||-11.39
HYP - Hipermarket|PLA007|CARREFOUR SZCZECIN|23-DEC-16|WARZYWA I OWOCE|22|DYNIOWATE,PAPRYKI,POMIDOR|2213|POMIDORY|22132|8426325050032|POMIDOR CHERRY MIX 500 g|10||-4||-33.6
